province,date,working_age_population,labour_force,employed,unemployed,outside_labour_force,participation_rate,absorption_rate,inactivity_rate,unemployment_rate,year,quarter,quarter_label,unemployment_rate_qoq,unemployment_rate_yoy
Gauteng,2026-01-01,11556.759363342115,7760.438267563318,5116.069743759874,2644.368523803452,3796.3210957787414,67.2,44.3,32.8,34.1,2026,1,Q1 2026,1.1000000000000014,-0.6000000000000014
KwaZulu-Natal,2008-01-01,5992.893835218432,3256.7745689450153,2524.966035980211,731.808532964798,2736.119266273446,54.3,42.1,45.65606102001188,22.5,2008,1,Q1 2008,,
KwaZulu-Natal,2008-04-01,6016.340039685366,3280.4238287748,2560.4056860297296,720.018142745075,2735.9162109105414,54.5,42.6,45.474760283833824,21.9,2008,2,Q2 2008,-0.6000000000000014,
KwaZulu-Natal,2008-07-01,6040.57908961231,3246.913204385582,2541.4360967707466,705.4771076148298,2793.665885226729,53.8,42.1,46.24831235184421,21.7,2008,3,Q3 2008,-0.1999999999999993,
KwaZulu-Natal,2008-10-01,6065.101866926779,3249.34250958398,2583.7361870010554,665.606322582919,2815.759357342824,53.6,42.6,46.42559051973556,20.5,2008,4,Q4 2008,-1.1999999999999993,
KwaZulu-Natal,2009-01-01,6089.6526376494,3193.8852907048304,2489.61684341851,704.2684472863266,2895.7673469445817,52.4,40.9,47.552258219810795,22.1,2009,1,Q1 2009,1.6000000000000014,-0.3999999999999986
KwaZulu-Natal,2009-04-01,6114.333338571556,2994.4322582467044,2429.6110569390307,564.8212013076817,3119.901080324806,49.0,39.7,51.0260220954288,18.9,2009,2,Q2 2009,-3.200000000000003,-3.0
KwaZulu-Natal,2009-07-01,6139.2090631702595,2979.287305461548,2432.836467190335,546.4508382712198,3159.921757708719,48.5,39.6,51.471154104663896,18.3,2009,3,Q3 2009,-0.5999999999999979,-3.3999999999999986
KwaZulu-Natal,2009-10-01,6163.741547068803,2944.457257601236,2386.273242764026,558.1840148371975,3219.28428946762,47.8,38.7,52.229384780074696,19.0,2009,4,Q4 2009,0.6999999999999993,-1.5
KwaZulu-Natal,2010-01-01,6188.254530236784,2947.6351282142523,2385.4093867999154,562.2257414143429,3240.6194020225257,47.6,38.5,52.36726101343208,19.1,2010,1,Q1 2010,0.10000000000000142,-3.0
KwaZulu-Natal,2010-04-01,6212.849626356883,2937.4399269922424,2332.2481223535833,605.1918046386494,3275.4096993646294,47.3,37.5,52.71992557920699,20.6,2010,2,Q2 2010,1.5,1.7000000000000028
KwaZulu-Natal,2010-07-01,6237.618911234009,2853.491350067632,2295.6800389384284,557.8113111292008,3384.1275611663264,45.7,36.8,54.25351579383722,19.5,2010,3,Q3 2010,-1.1000000000000014,1.1999999999999993
KwaZulu-Natal,2010-10-01,6262.065930756475,2912.5417964850467,2347.6139130478823,564.927883437171,3349.5241342714016,46.5,37.5,53.48912278002415,19.4,2010,4,Q4 2010,-0.10000000000000142,0.3999999999999986
KwaZulu-Natal,2011-01-01,6286.498502737265,2915.427692257879,2337.092380179734,578.3353120781395,3371.070810479388,46.4,37.2,53.62398176049216,19.8,2011,1,Q1 2011,0.40000000000000213,0.6999999999999993
KwaZulu-Natal,2011-04-01,6311.01788139896,2999.9960017444378,2399.164258312286,600.8317434321438,3311.021879654521,47.5,38.0,52.46414987057613,20.0,2011,2,Q2 2011,0.1999999999999993,-0.6000000000000014
